Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['C7orf26+ctrl' 'C14orf178+ctrl' 'RPS10-NUDT3+ctrl' 'SEM1+ctrl' 'FAU+ctrl']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:0
combo_seen1:0
combo_seen2:0
unseen_single:272
Done!
Creating dataloaders....
Done!
Found local GO graph CSV...
Start Training...
Epoch 1 Step 1 Train Loss: 0.6269
Epoch 1 Step 51 Train Loss: 0.6422
Epoch 1 Step 101 Train Loss: 0.5625
Epoch 1 Step 151 Train Loss: 0.6910
Epoch 1 Step 201 Train Loss: 0.5897
Epoch 1 Step 251 Train Loss: 0.5647
Epoch 1 Step 301 Train Loss: 0.5747
Epoch 1 Step 351 Train Loss: 0.5938
Epoch 1 Step 401 Train Loss: 0.5988
Epoch 1 Step 451 Train Loss: 0.6233
Epoch 1 Step 501 Train Loss: 0.6457
Epoch 1 Step 551 Train Loss: 0.6174
Epoch 1 Step 601 Train Loss: 0.6390
Epoch 1 Step 651 Train Loss: 0.5513
Epoch 1 Step 701 Train Loss: 0.5183
Epoch 1 Step 751 Train Loss: 0.5408
Epoch 1 Step 801 Train Loss: 0.6121
Epoch 1 Step 851 Train Loss: 0.5897
Epoch 1 Step 901 Train Loss: 0.6358
Epoch 1 Step 951 Train Loss: 0.6128
Epoch 1 Step 1001 Train Loss: 0.5425
Epoch 1 Step 1051 Train Loss: 0.5936
Epoch 1 Step 1101 Train Loss: 0.5811
Epoch 1 Step 1151 Train Loss: 0.5472
Epoch 1 Step 1201 Train Loss: 0.5061
Epoch 1 Step 1251 Train Loss: 0.5389
Epoch 1 Step 1301 Train Loss: 0.5458
Epoch 1 Step 1351 Train Loss: 0.5688
Epoch 1 Step 1401 Train Loss: 0.6435
Epoch 1 Step 1451 Train Loss: 0.6774
Epoch 1 Step 1501 Train Loss: 0.5316
Epoch 1 Step 1551 Train Loss: 0.5838
Epoch 1 Step 1601 Train Loss: 0.5657
Epoch 1 Step 1651 Train Loss: 0.5856
Epoch 1 Step 1701 Train Loss: 0.5931
Epoch 1 Step 1751 Train Loss: 0.5809
